"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tasas de interés y encaje",,,,,,
"Tasa de política monetaria",,,,,,
"Unidad de medida: Porcentajes",,,,,,
Fechas,Guatemala
,"Tasa de política monetaria"
2005-Enero,2.55
2005-Febrero,2.75
2005-Marzo,2.75
2005-Abril,2.75
2005-Mayo,3.00
2005-Junio,3.00
2005-Julio,3.25
2005-Agosto,3.50
2005-Setiembre,3.75
2005-Octubre,3.75
2005-Noviembre,4.00
2005-Diciembre,4.25
2006-Enero,4.25
2006-Febrero,4.25
2006-Marzo,4.25
2006-Abril,4.50
2006-Mayo,4.50
2006-Junio,4.75
2006-Julio,5.00
2006-Agosto,5.00
2006-Setiembre,5.00
2006-Octubre,5.00
2006-Noviembre,5.00
2006-Diciembre,5.00
2007-Enero,5.00
2007-Febrero,5.00
2007-Marzo,5.25
2007-Abril,5.50
2007-Mayo,5.50
2007-Junio,5.50
2007-Julio,5.50
2007-Agosto,5.50
2007-Setiembre,5.75
2007-Octubre,6.00
2007-Noviembre,6.25
2007-Diciembre,6.50
2008-Enero,6.50
2008-Febrero,6.50
2008-Marzo,6.75
2008-Abril,6.75
2008-Mayo,6.75
2008-Junio,6.75
2008-Julio,7.25
2008-Agosto,7.25
2008-Setiembre,7.25
2008-Octubre,7.25
2008-Noviembre,7.25
2008-Diciembre,7.25
2009-Enero,7.00
2009-Febrero,6.50
2009-Marzo,6.25
2009-Abril,5.75
2009-Mayo,5.75
2009-Junio,5.25
2009-Julio,4.75
2009-Agosto,4.75
2009-Setiembre,4.50
2009-Octubre,4.50
2009-Noviembre,4.50
2009-Diciembre,4.50
2010-Enero,4.50
2010-Febrero,4.50
2010-Marzo,4.50
2010-Abril,4.50
2010-Mayo,4.50
2010-Junio,4.50
2010-Julio,4.50
2010-Agosto,4.50
2010-Setiembre,4.50
2010-Octubre,4.50
2010-Noviembre,4.50
2010-Diciembre,4.50
2011-Enero,4.50
2011-Febrero,4.50
2011-Marzo,4.75
2011-Abril,4.75
2011-Mayo,4.75
2011-Junio,4.75
2011-Julio,5.00
2011-Agosto,5.00
2011-Setiembre,5.50
2011-Octubre,5.50
2011-Noviembre,5.50
2011-Diciembre,5.50
2012-Enero,5.50
2012-Febrero,5.50
2012-Marzo,5.50
2012-Abril,5.50
2012-Mayo,5.50
2012-Junio,5.00
2012-Julio,5.00
2012-Agosto,5.00
2012-Setiembre,5.00
2012-Octubre,5.00
2012-Noviembre,5.00
2012-Diciembre,5.00
2013-Enero,5.00
2013-Febrero,5.00
2013-Marzo,5.00
2013-Abril,5.25
2013-Mayo,5.25
2013-Junio,5.25
2013-Julio,5.25
2013-Agosto,5.25
2013-Setiembre,5.25
2013-Octubre,5.00
2013-Noviembre,5.00
2013-Diciembre,5.00
2014-Enero,5.00
2014-Febrero,5.00
2014-Marzo,4.75
2014-Abril,4.75
2014-Mayo,4.75
2014-Junio,4.50
2014-Julio,4.50
2014-Agosto,4.50
2014-Setiembre,4.50
2014-Octubre,4.50
2014-Noviembre,4.00
2014-Diciembre,4.00
2015-Enero,4.00
2015-Febrero,3.50
2015-Marzo,3.50
2015-Abril,3.50
2015-Mayo,3.50
2015-Junio,3.25
2015-Julio,3.25
2015-Agosto,3.25
2015-Setiembre,3.25
2015-Octubre,3.00
2015-Noviembre,3.00
2015-Diciembre,3.00
2016-Enero,3.00
2016-Febrero,3.00
2016-Marzo,3.00
2016-Abril,3.00
2016-Mayo,3.00
2016-Junio,3.00
2016-Julio,3.00
2016-Agosto,3.00
2016-Setiembre,3.00
2016-Octubre,3.00
2016-Noviembre,3.00
2016-Diciembre,3.00
2017-Enero,3.00
2017-Febrero,3.00
2017-Marzo,3.00
2017-Abril,3.00
2017-Mayo,3.00
2017-Junio,3.00
2017-Julio,3.00
2017-Agosto,3.00
2017-Setiembre,3.00
2017-Octubre,3.00
2017-Noviembre,2.75
2017-Diciembre,2.75
2018-Enero,2.75
2018-Febrero,2.75
2018-Marzo,2.75
2018-Abril,2.75
2018-Mayo,2.75
2018-Junio,2.75
2018-Julio,2.75
2018-Agosto,2.75
2018-Setiembre,2.75
2018-Octubre,2.75
2018-Noviembre,2.75
2018-Diciembre,2.75
2019-Enero,2.75
2019-Febrero,2.75
2019-Marzo,2.75
2019-Abril,2.75
2019-Mayo,2.75
2019-Junio,2.75
2019-Julio,2.75
2019-Agosto,2.75
2019-Setiembre,2.75
2019-Octubre,2.75
2019-Noviembre,2.75
2019-Diciembre,2.75
2020-Enero,2.75
2020-Febrero,2.75
2020-Marzo,2.00
2020-Abril,2.00
2020-Mayo,2.00
2020-Junio,1.75
2020-Julio,1.75
2020-Agosto,1.75
2020-Setiembre,1.75
2020-Octubre,1.75
2020-Noviembre,1.75
2020-Diciembre,1.75
2021-Enero,1.75
2021-Febrero,1.75
2021-Marzo,1.75
2021-Abril,1.75
2021-Mayo,1.75
2021-Junio,1.75
2021-Julio,1.75
2021-Agosto,1.75
2021-Setiembre,1.75
2021-Octubre,1.75
2021-Noviembre,1.75
2021-Diciembre,1.75
2022-Enero,1.75
2022-Febrero,1.75
